(1000000, 0.270738)
(2000000, 0.548082)
(3000000, 0.808021)
(4000000, 1.083602)
(5000000, 1.375307)
(6000000, 1.647229)
(7000000, 1.936586)
(8000000, 2.219470)
(9000000, 2.531248)
(10000000, 2.823032)
(11000000, 3.110046)
(12000000, 3.360561)
(13000000, 3.642760)
(14000000, 3.944812)
(15000000, 4.210317)
(16000000, 4.561198)
(17000000, 4.858075)
(18000000, 5.161938)
(19000000, 5.580469)
(20000000, 5.743815)
(21000000, 6.009770)
(22000000, 6.364013)
(23000000, 6.644557)
(24000000, 6.942973)
(25000000, 7.224523)
(26000000, 7.547133)
(27000000, 7.845790)
(28000000, 8.157608)
(29000000, 8.410770)
(30000000, 8.694618)
(31000000, 9.187585)
(32000000, 9.479093)
(33000000, 9.756108)
(34000000, 10.034665)
(35000000, 10.421658)
(36000000, 10.695213)
(37000000, 11.014268)
(38000000, 11.273402)
(39000000, 11.567757)
(40000000, 11.868786)
(41000000, 12.177309)
(42000000, 12.445517)
(43000000, 12.798000)
(44000000, 13.205195)
(45000000, 13.436661)
(46000000, 13.696902)
(47000000, 14.038594)
(48000000, 14.337606)
(49000000, 14.655336)
(50000000, 14.909546)
(51000000, 15.241836)
(52000000, 15.572905)
(53000000, 15.912768)
(54000000, 16.210226)
(55000000, 16.511930)
(56000000, 16.829218)
(57000000, 17.085820)
(58000000, 17.396676)
(59000000, 17.631574)
(60000000, 17.983385)
(61000000, 18.346836)
(62000000, 18.634255)
(63000000, 18.941515)
(64000000, 19.233387)
(65000000, 19.541700)
(66000000, 20.071549)
(67000000, 20.340366)
(68000000, 20.665657)
(69000000, 20.972836)
(70000000, 21.316660)
(71000000, 21.649567)
(72000000, 21.969016)
(73000000, 22.297335)
(74000000, 22.625778)
(75000000, 22.875332)
(76000000, 23.209541)
(77000000, 23.486336)
(78000000, 23.862059)
(79000000, 24.183189)
(80000000, 24.478979)
(81000000, 24.789341)
(82000000, 25.098145)
(83000000, 25.315138)
(84000000, 25.590701)
(85000000, 25.989464)
(86000000, 26.366675)
(87000000, 26.721880)
(88000000, 27.103412)
(89000000, 27.440412)
(90000000, 27.709330)
(91000000, 27.980561)
(92000000, 28.260561)
(93000000, 28.630623)
(94000000, 28.928352)
(95000000, 29.260231)
(96000000, 29.562001)
(97000000, 29.872280)
(98000000, 30.165735)
(99000000, 30.483685)
(100000000, 30.739061)
(110000000, 34.070583)
(120000000, 37.095470)
(130000000, 40.353960)
(140000000, 43.926559)
(150000000, 47.153021)
(160000000, 50.450320)
(170000000, 53.549464)
(180000000, 57.121311)
(190000000, 60.364095)
(200000000, 63.505557)
(210000000, 66.867536)
(220000000, 70.188791)
(230000000, 73.198787)
(240000000, 76.430060)
(250000000, 79.771947)
(260000000, 83.125593)
(270000000, 86.844179)
(280000000, 90.811670)
(290000000, 94.280249)
(300000000, 97.392388)
(310000000, 100.977760)
(320000000, 104.506030)
(330000000, 107.443490)
(340000000, 111.150138)
(350000000, 115.371919)
(360000000, 118.436565)
(370000000, 120.792754)
(380000000, 124.658483)
(390000000, 127.917209)
(400000000, 131.144234)
(410000000, 135.225284)
(420000000, 137.848271)
(430000000, 142.171855)
