(1000000, 0.506768)
(2000000, 1.114954)
(3000000, 1.520570)
(4000000, 1.376140)
(5000000, 1.122030)
(6000000, 1.171881)
(7000000, 1.369170)
(8000000, 1.601608)
(9000000, 1.844052)
(10000000, 2.044059)
(11000000, 2.252677)
(12000000, 2.462941)
(13000000, 2.659039)
(14000000, 2.939955)
(15000000, 3.072841)
(16000000, 3.362848)
(17000000, 3.585087)
(18000000, 3.810667)
(19000000, 4.048374)
(20000000, 4.245900)
(21000000, 4.457381)
(22000000, 4.681378)
(23000000, 4.901784)
(24000000, 5.123536)
(25000000, 5.415649)
(26000000, 5.787454)
(27000000, 5.883186)
(28000000, 6.140702)
(29000000, 6.443245)
(30000000, 6.554239)
(31000000, 7.018618)
(32000000, 7.258841)
(33000000, 7.559352)
(34000000, 7.806987)
(35000000, 8.068467)
(36000000, 8.251964)
(37000000, 8.465744)
(38000000, 8.656580)
(39000000, 8.910409)
(40000000, 9.114425)
(41000000, 9.340901)
(42000000, 9.653045)
(43000000, 10.031813)
(44000000, 10.408880)
(45000000, 10.262315)
(46000000, 10.822253)
(47000000, 10.690285)
(48000000, 10.911300)
(49000000, 11.503703)
(50000000, 11.842296)
(51000000, 11.978249)
(52000000, 11.855874)
(53000000, 12.435837)
(54000000, 12.397225)
(55000000, 12.888110)
(56000000, 13.122467)
(57000000, 13.315237)
(58000000, 13.533936)
(59000000, 13.762152)
(60000000, 14.022473)
(61000000, 14.688051)
(62000000, 14.668544)
(63000000, 14.785559)
(64000000, 15.176298)
(65000000, 15.582590)
(66000000, 15.433280)
(67000000, 15.711758)
(68000000, 16.490668)
(69000000, 15.958710)
(70000000, 16.954203)
(71000000, 17.146623)
(72000000, 17.407952)
(73000000, 17.696134)
(74000000, 17.873762)
(75000000, 18.064220)
(76000000, 18.272805)
(77000000, 18.534869)
(78000000, 18.879048)
(79000000, 19.283430)
(80000000, 19.323881)
(81000000, 19.507422)
(82000000, 19.794064)
(83000000, 20.250486)
(84000000, 20.177501)
(85000000, 20.474293)
(86000000, 21.058203)
(87000000, 21.333884)
(88000000, 21.271531)
(89000000, 21.754198)
(90000000, 21.649625)
(91000000, 22.678367)
(92000000, 22.106645)
(93000000, 22.297058)
(94000000, 23.002950)
(95000000, 23.163655)
(96000000, 23.445323)
(97000000, 23.670919)
(98000000, 23.922673)
(99000000, 24.127326)
(100000000, 24.702252)
(101000000, 24.610446)
(102000000, 24.812171)
(103000000, 25.452842)
(104000000, 25.672226)
(105000000, 25.456234)
(106000000, 26.096196)
(107000000, 26.461624)
(108000000, 26.718982)
(109000000, 27.138450)
(110000000, 27.175245)
(111000000, 27.409327)
(112000000, 27.235816)
(113000000, 27.827254)
(114000000, 28.292236)
(115000000, 28.354589)
(116000000, 28.769640)
(117000000, 28.671534)
(118000000, 28.858717)
(119000000, 29.536939)
(120000000, 29.404365)
(121000000, 30.014003)
(122000000, 30.262022)
(123000000, 30.471164)
(124000000, 30.385992)
(125000000, 30.617080)
(126000000, 31.240989)
(127000000, 31.384104)
(128000000, 31.772127)
(129000000, 31.883539)
(130000000, 32.547986)
(131000000, 32.286210)
(132000000, 32.597994)
(133000000, 32.842281)
(134000000, 33.444602)
(135000000, 33.645775)
(136000000, 33.829524)
(137000000, 34.559301)
(138000000, 34.412591)
(139000000, 35.046024)
(140000000, 35.195522)
(141000000, 35.134766)
(142000000, 35.708439)
(143000000, 36.098987)
(144000000, 36.258933)
(145000000, 36.519474)
(146000000, 36.840378)
(147000000, 36.944700)
(148000000, 37.149165)
(149000000, 37.470434)
(150000000, 37.961411)
(160000000, 38.036807)
(170000000, 41.479648)
(180000000, 44.929373)
(190000000, 47.649593)
(200000000, 50.293050)
(210000000, 53.130596)
(220000000, 56.273021)
(230000000, 58.538034)
(240000000, 61.556733)
(250000000, 63.583627)
(260000000, 66.497607)
(270000000, 69.279254)
(280000000, 73.152918)
(290000000, 75.522223)
(300000000, 78.053804)
(310000000, 80.716602)
(320000000, 83.747711)
(330000000, 86.102594)
(340000000, 88.617678)
(350000000, 91.367183)
(360000000, 94.343744)
(370000000, 97.091745)
(380000000, 99.431295)
(390000000, 104.017497)
(400000000, 106.306295)
(420000000, 116.240521)
(430000000, 110.207675)
