(10000.0, 1.1454435727217862)
(100000.0, 1.037661114898867)
(1000000.0, 0.9974230026911682)
(1500000.0, 1.0360855155791007)
(2000000.0, 1.0719954495743906)
(3000000.0, 1.2356830094880809)
(4000000.0, 1.0807855393149666)
(5000000.0, 1.1057068167363286)
(6000000.0, 1.0564191895938544)
(7000000.0, 1.0516750872518172)
(8000000.0, 1.0347568007502992)
(9000000.0, 1.3206095213759952)
(10000000.0, 0.9788452651799576)
(20000000.0, 1.2991860549776453)
(30000000.0, 1.251343966448497)
(40000000.0, 1.3002067943381574)
(50000000.0, 1.3508791473472361)
(60000000.0, 1.3940573594393522)
(70000000.0, 1.3844376242611705)
(80000000.0, 1.3567592506508122)
(90000000.0, 1.3830508972155684)
(100000000.0, 1.363330297321608)
(200000000.0, 1.2301679459938373)
(300000000.0, 2.5099040153841714)
(400000000.0, 4.275932160651602)
